"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","806","Não deve logar quando o email não é preenchido","","2026-09-22","passed","2026-09-22","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","2272","Não deve cadastrar quando o email já existe na lista","","2026-09-22","passed","2026-09-22","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","2098","Deve retornar erro ao cadastrar email inválido","","2026-09-22","passed","2026-09-22","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","2064","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-22","passed","2026-09-22","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","1835","Deve permitir excluir uma série existente com sucesso","","2026-09-22","passed","2026-09-22","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","810","Não deve logar quando o email é inválido","","2026-09-22","passed","2026-09-22","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","2348","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-22","passed","2026-09-22","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","2041","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-22","passed","2026-09-22","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","2774","Não deve permitir cadastrar série duplicada","","2026-09-22","passed","2026-09-22","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","800","Não deve logar com senha incorreta","","2026-09-22","passed","2026-09-22","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","1128","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-22","passed","2026-09-22","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","1574","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-22","passed","2026-09-22","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","829","Deve logar como Admin com sucesso","","2026-09-22","passed","2026-09-22","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","885","Não deve logar quando senha e email não são preenchidos","","2026-09-22","passed","2026-09-22","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","2179","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-22","passed","2026-09-22","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","1998","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-22","passed","2026-09-22","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","1565","Deve poder cadastrar um novo filme com sucesso","","2026-09-22","passed","2026-09-22","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","4531","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-22","passed","2026-09-22","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","1516","Não deve permitir cadastrar filme duplicado","","2026-09-22","passed","2026-09-22","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","7533","Deve poder cadastrar uma nova série com sucesso","","2026-09-22","passed","2026-09-22","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","811","Não deve logar quando a senha não é preenchida","","2026-09-22","passed","2026-09-22","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","1264","Deve permitir excluir um filme existente com sucesso","","2026-09-22","passed","2026-09-22","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
